Category,Name,Status,Source Path,Size X,Size Y,Size Z,Renderers,Colliders,Animators,Missing Scripts,Broken Material Slots
"01 VILLAGE","Village House","OK","Assets/Aletheia/Prefabs/house.prefab",16.140,14.000,14.650,1,0,0,0,0
"01 VILLAGE","Village Mill","OK","Assets/Aletheia/Prefabs/mill.prefab",7.655,16.888,11.030,1,0,0,0,0
"01 VILLAGE","Village Well","OK","Assets/Aletheia/Prefabs/well.prefab",9.215,8.537,8.915,1,0,0,0,0
"01 VILLAGE","Gallows","OK","Assets/Aletheia/Prefabs/gallows.prefab",7.565,6.632,8.994,1,0,0,0,0
"01 VILLAGE","House Door","OK","Assets/Aletheia/Prefabs/door.prefab",8.561,4.123,1.084,1,0,0,0,0
"01 VILLAGE","Village Fence","OK","Assets/Aletheia/Prefabs/fence.prefab",24.659,3.526,0.422,1,0,0,0,0
"01 VILLAGE","Village Lamp","OK","Assets/Aletheia/Prefabs/lamp.prefab",0.840,6.182,3.064,1,0,0,0,0
"01 VILLAGE","Barrel","OK","Assets/Aletheia/Prefabs/barrel.prefab",2.608,2.629,2.608,1,0,0,0,0
"01 VILLAGE","Wooden Box","OK","Assets/Aletheia/Prefabs/box.prefab",2.144,1.824,2.039,1,0,0,0,0
"01 VILLAGE","Wheelbarrow","OK","Assets/Aletheia/Prefabs/wheelbarrow.prefab",7.890,3.138,4.496,1,0,0,0,0
"02 KEY MAKER WORKSHOP","Forge","OK","Assets/UpDraft Art/Stylized Blacksmith Workshop Kit/Prefabs/Forge.prefab",1.250,2.100,1.250,1,0,0,0,0
"02 KEY MAKER WORKSHOP","Anvil","OK","Assets/UpDraft Art/Stylized Blacksmith Workshop Kit/Prefabs/Anvil.prefab",0.795,0.341,0.284,1,0,0,0,0
"02 KEY MAKER WORKSHOP","Bellows","OK","Assets/UpDraft Art/Stylized Blacksmith Workshop Kit/Prefabs/Bellows.prefab",0.300,0.180,0.550,1,0,0,0,0
"02 KEY MAKER WORKSHOP","Work Table","OK","Assets/UpDraft Art/Stylized Blacksmith Workshop Kit/Prefabs/Work_Table.prefab",0.606,0.703,1.116,1,0,0,0,0
"02 KEY MAKER WORKSHOP","Tool Rack","OK","Assets/UpDraft Art/Stylized Blacksmith Workshop Kit/Prefabs/Tool_Rack.prefab",0.136,0.224,1.292,1,0,0,0,0
"02 KEY MAKER WORKSHOP","Grindstone","OK","Assets/UpDraft Art/Stylized Blacksmith Workshop Kit/Prefabs/Grindstone.prefab",1.800,1.426,0.720,3,1,0,0,0
"02 KEY MAKER WORKSHOP","Quenching Trough","OK","Assets/UpDraft Art/Stylized Blacksmith Workshop Kit/Prefabs/Quenching_Trough.prefab",1.500,0.550,0.550,1,0,0,0,0
"02 KEY MAKER WORKSHOP","Blacksmith Sign","OK","Assets/UpDraft Art/Stylized Blacksmith Workshop Kit/Prefabs/Blacksmith_Sign.prefab",0.041,1.037,1.447,1,0,0,0,0
"02 KEY MAKER WORKSHOP","Ore Crate","OK","Assets/UpDraft Art/Stylized Blacksmith Workshop Kit/Prefabs/Ore_Crate.prefab",0.550,0.450,0.450,1,0,0,0,0
"02 KEY MAKER WORKSHOP","Coal Pile","OK","Assets/UpDraft Art/Stylized Blacksmith Workshop Kit/Prefabs/Coal_Pile.prefab",0.700,0.200,0.550,1,0,0,0,0
"02 KEY MAKER WORKSHOP","Glowing Ingot","OK","Assets/UpDraft Art/Stylized Blacksmith Workshop Kit/Prefabs/Glowing_Ingot.prefab",0.046,0.035,0.109,1,0,0,0,0
"03 CASTLE AND DUNGEON","Decorated Main Gate Arch","OK","Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesHIGH_URP/wall_archPointy_decorated_gate.prefab",8.056,7.197,1.918,3,0,0,0,0
"03 CASTLE AND DUNGEON","Gate Door Left","OK","Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesLOW_URP/obj_gateDoor_left_LOW.prefab",1.668,4.653,0.266,1,0,0,0,0
"03 CASTLE AND DUNGEON","Gate Door Right","OK","Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesLOW_URP/obj_gateDoor_right_LOW.prefab",1.667,4.653,0.244,1,0,0,0,0
"03 CASTLE AND DUNGEON","Stone Wall","OK","Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesHIGH_URP/wall_bricks.prefab",8.056,6.039,0.858,1,0,0,0,0
"03 CASTLE AND DUNGEON","Broken Stone Wall","OK","Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesHIGH_URP/wall_bricksBroken.prefab",8.056,6.231,2.458,1,0,0,0,0
"03 CASTLE AND DUNGEON","Stone Floor","OK","Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesHIGH_URP/floor_tiles.prefab",4.046,0.092,4.011,1,0,0,0,0
"03 CASTLE AND DUNGEON","Stone Stairs","OK","Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesHIGH_URP/wall_stairs.prefab",5.958,6.336,11.505,1,0,0,0,0
"03 CASTLE AND DUNGEON","Metal Door Left","OK","Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesLOW_URP/obj_metalDoor_left_LOW.prefab",1.680,4.589,0.382,1,0,0,0,0
"03 CASTLE AND DUNGEON","Metal Door Right","OK","Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesLOW_URP/obj_metalDoor_right_LOW.prefab",1.680,4.589,0.382,1,0,0,0,0
"03 CASTLE AND DUNGEON","Hanging Chain","OK","Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesHIGH_URP/obj_chain_hang_A.prefab",0.433,3.752,1.491,1,0,0,0,0
"03 CASTLE AND DUNGEON","Skull Column","OK","Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesHIGH_URP/obj_columnSkull_large.prefab",3.419,6.000,3.419,1,0,0,0,0
"03 CASTLE AND DUNGEON","Closed Chest","OK","Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesHIGH_URP/obj_chest_close.prefab",2.346,1.497,1.707,1,0,0,0,0
"03 CASTLE AND DUNGEON","Candle Group","OK","Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesHIGH_URP/obj_candleGroup_A.prefab",0.705,0.991,0.678,1,0,0,0,0
"04 STORY PROPS","Quest Scroll / Letter","OK","Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesHIGH_URP/obj_scroll.prefab",0.298,0.287,0.750,1,0,0,0,0
"04 STORY PROPS","Main Gate Key","OK","Assets/PurePoly/Free Fantasy RPG Weapons/Prefabs/PP_Theme_09_Key_002.prefab",0.043,0.162,0.012,1,1,0,0,0
"04 STORY PROPS","Player Torch","OK","Assets/PurePoly/Free Fantasy RPG Weapons/Prefabs/PP_Theme_10_Torch_001.prefab",0.157,0.975,0.142,1,1,0,0,0
