PHASE 1 ACTUAL WORLD BUILD REPORT
Scene: Assets/Scenes/SampleScene.unity
Built: 8/4/2026 10:32:19 PM

MAIN GATE TERRAIN SEARCH: position=(178.95, 37.35, 402.11) | patch radius=28.0m | height range=20.2m | average slope=18.4 degrees | normalized elevation=0.12
MOUNTAIN VILLAGE TERRAIN SEARCH: position=(294.47, 27.13, 240.53) | patch radius=30.0m | height range=29.4m | average slope=20.4 degrees | normalized elevation=0.08
FLATLAND CASTLE TERRAIN SEARCH: position=(82.11, 4.78, 167.89) | patch radius=52.0m | height range=4.2m | average slope=6.2 degrees | normalized elevation=0.02
ROUTE DISTANCES:
Spawn -> Gate: 196.5m
Gate -> Village: 198.9m
Village -> Castle: 225.6m

OK: Main Gate Arch | Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesHIGH_URP/wall_archPointy_decorated_gate.prefab | pos (178.95, 37.36, 402.11)
OK: Main Gate Door Left | Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesLOW_URP/obj_gateDoor_left_LOW.prefab | pos (180.20, 41.92, 402.11)
OK: Main Gate Door Right | Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesLOW_URP/obj_gateDoor_right_LOW.prefab | pos (177.70, 41.11, 402.11)
OK: Gate Wall Left 1 | Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesHIGH_URP/wall_bricks.prefab | pos (185.15, 39.63, 402.11)
OK: Gate Wall Right 1 | Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesHIGH_URP/wall_bricks.prefab | pos (172.75, 35.40, 402.11)
OK: Gate Wall Left 2 | Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesHIGH_URP/wall_bricks.prefab | pos (196.85, 44.01, 402.11)
OK: Gate Wall Right 2 | Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesHIGH_URP/wall_bricks.prefab | pos (161.05, 31.93, 402.11)
OK: Gate Wall Left 3 | Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesHIGH_URP/wall_bricksBroken.prefab | pos (208.55, 47.09, 402.11)
OK: Gate Wall Right 3 | Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesHIGH_URP/wall_bricksBroken.prefab | pos (149.35, 29.01, 402.11)
OK: Left Gate Skull Column | Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesHIGH_URP/obj_columnSkull_large.prefab | pos (185.05, 39.63, 402.81)
OK: Right Gate Skull Column | Assets/ZerinLabs_lowpolyPack_ModularDungeons/prefabs/modularDungeonPiecesHIGH_URP/obj_columnSkull_large.prefab | pos (172.85, 35.51, 402.81)
